,subject,region,raw SNR
261,10,Insula_L,41.2950407118
262,12,Insula_L,60.0026531322
263,14,Insula_L,76.0562948757
264,22,Insula_L,66.6072848991
265,15,Insula_L,87.3032240167
266,16,Insula_L,59.8783285526
267,17,Insula_L,55.4795806188
268,18,Insula_L,55.2650374606
270,21,Insula_L,62.4807444017
271,20,Insula_L,47.5288558562
254,02,Insula_L,52.4917716575
269,11,Insula_L,55.6316378137
252,01,Insula_L,64.4243679037
253,04,Insula_L,58.7923234442
144,21,Insula_R,65.039019495
146,19,Insula_R,62.7490253439
142,18,Insula_R,48.4698375012
141,17,Insula_R,60.552762077
140,16,Insula_R,55.6630794462
139,15,Insula_R,95.8169658176
138,22,Insula_R,70.9566095142
137,14,Insula_R,78.1045592563
136,12,Insula_R,58.6556140858
135,10,Insula_R,42.9713965044
134,05,Insula_R,58.3779893532
133,09,Insula_R,64.2724378752
132,08,Insula_R,54.0210275688
131,07,Insula_R,77.2264975389
130,06,Insula_R,65.2647616455
129,13,Insula_R,84.3264900045
128,02,Insula_R,49.8863400131
127,04,Insula_R,58.2775746187
126,01,Insula_R,63.7329422269
145,20,Insula_R,48.3041066586
143,11,Insula_R,48.5053921625
167,19,MFG_L,113.627778946
148,04,MFG_L,98.3492210576
165,21,MFG_L,85.3927255595
164,11,MFG_L,95.4746614712
163,18,MFG_L,89.1148775684
162,17,MFG_L,89.5696396761
161,16,MFG_L,80.2530731977
160,15,MFG_L,136.679743317
159,22,MFG_L,111.333496829
158,14,MFG_L,117.651605605
157,12,MFG_L,90.0083352041
156,10,MFG_L,67.1007259358
155,05,MFG_L,89.0763642572
154,09,MFG_L,106.875407958
153,08,MFG_L,77.9486137864
152,07,MFG_L,119.249141864
151,06,MFG_L,93.6978132337
150,13,MFG_L,114.482831734
149,02,MFG_L,75.0032263716
166,20,MFG_L,68.0986536335
147,01,MFG_L,90.4076537995
199,12,MFG_R,89.5166402745
189,01,MFG_R,92.5876828086
191,02,MFG_R,73.2660381904
192,13,MFG_R,124.073056028
193,06,MFG_R,92.4527216303
194,07,MFG_R,124.684373348
195,08,MFG_R,75.9411586555
196,09,MFG_R,108.723945423
197,05,MFG_R,81.7553674608
190,04,MFG_R,103.254669354
198,10,MFG_R,67.5690963778
201,22,MFG_R,120.723908939
202,15,MFG_R,156.83810651
203,16,MFG_R,78.4185155462
204,17,MFG_R,91.1302219519
205,18,MFG_R,79.3727570728
206,11,MFG_R,75.0164099783
207,21,MFG_R,86.9462450168
200,14,MFG_R,123.630518383
208,20,MFG_R,74.6700197603
209,19,MFG_R,105.204802342
124,20,Occipital_Inf_L,39.2557409329
107,02,Occipital_Inf_L,72.3411486061
108,13,Occipital_Inf_L,63.6442960273
109,06,Occipital_Inf_L,49.9088023926
110,07,Occipital_Inf_L,66.0664831467
111,08,Occipital_Inf_L,44.7929991179
112,09,Occipital_Inf_L,46.4569498681
113,05,Occipital_Inf_L,46.8500806734
114,10,Occipital_Inf_L,22.3030159805
106,04,Occipital_Inf_L,32.6311891366
116,14,Occipital_Inf_L,52.871237715
117,22,Occipital_Inf_L,48.8390885576
118,15,Occipital_Inf_L,64.8398374581
119,16,Occipital_Inf_L,34.6027150034
120,17,Occipital_Inf_L,33.439345161
121,18,Occipital_Inf_L,38.1005322312
122,11,Occipital_Inf_L,20.5752765712
123,21,Occipital_Inf_L,74.4021917935
125,19,Occipital_Inf_L,47.445899511
115,12,Occipital_Inf_L,40.1670307302
105,01,Occipital_Inf_L,60.7212363332
250,20,Occipital_Inf_R,24.1240124258
251,19,Occipital_Inf_R,31.9242202609
232,04,Occipital_Inf_R,23.444821844
233,02,Occipital_Inf_R,56.5999106741
234,13,Occipital_Inf_R,40.25347039
235,06,Occipital_Inf_R,40.0090282622
236,07,Occipital_Inf_R,39.2574254126
237,08,Occipital_Inf_R,32.4343874351
238,09,Occipital_Inf_R,30.5116043071
239,05,Occipital_Inf_R,35.9943079904
231,01,Occipital_Inf_R,43.5148411445
241,12,Occipital_Inf_R,28.7942467512
242,14,Occipital_Inf_R,33.3088138799
243,22,Occipital_Inf_R,37.2091372848
244,15,Occipital_Inf_R,44.0278264039
245,16,Occipital_Inf_R,33.6675982797
246,17,Occipital_Inf_R,23.9312966872
247,18,Occipital_Inf_R,30.0994062785
248,11,Occipital_Inf_R,14.9514588749
249,21,Occipital_Inf_R,54.4462150611
240,10,Occipital_Inf_R,19.2820541968
366,10,Occipital_Mid_L,23.019535169
362,07,Occipital_Mid_L,74.8059406495
364,09,Occipital_Mid_L,48.3492525506
363,08,Occipital_Mid_L,46.9855259313
367,12,Occipital_Mid_L,41.4297544042
365,05,Occipital_Mid_L,48.9308499542
368,14,Occipital_Mid_L,58.7938278019
373,18,Occipital_Mid_L,34.9169169484
370,15,Occipital_Mid_L,70.2389236645
371,16,Occipital_Mid_L,40.9793542005
372,17,Occipital_Mid_L,30.4679019894
374,11,Occipital_Mid_L,23.0013189529
375,21,Occipital_Mid_L,83.4120242476
376,20,Occipital_Mid_L,40.7864871229
377,19,Occipital_Mid_L,46.6580992778
361,06,Occipital_Mid_L,52.5004915824
369,22,Occipital_Mid_L,49.6571766327
360,13,Occipital_Mid_L,67.352945199
358,04,Occipital_Mid_L,39.7399318317
359,02,Occipital_Mid_L,72.2361399508
357,01,Occipital_Mid_L,57.8558865481
60,21,Occipital_Mid_R,67.8293036858
42,01,Occipital_Mid_R,50.4433881802
43,04,Occipital_Mid_R,33.6592069934
44,02,Occipital_Mid_R,58.5887812209
45,13,Occipital_Mid_R,57.2453589294
46,06,Occipital_Mid_R,45.6937720695
47,07,Occipital_Mid_R,56.2304080245
62,19,Occipital_Mid_R,42.291951988
59,11,Occipital_Mid_R,25.2172617689
48,08,Occipital_Mid_R,41.1481124701
50,05,Occipital_Mid_R,47.1844428036
52,12,Occipital_Mid_R,35.7228198157
53,14,Occipital_Mid_R,43.2726589105
54,22,Occipital_Mid_R,47.3946790187
55,15,Occipital_Mid_R,55.6579521389
56,16,Occipital_Mid_R,41.4413110029
57,17,Occipital_Mid_R,28.2727159935
58,18,Occipital_Mid_R,35.0381695969
61,20,Occipital_Mid_R,33.2945233154
49,09,Occipital_Mid_R,42.3177416313
51,10,Occipital_Mid_R,23.9641555713
211,04,Occipital_Sup_L,38.4309052613
210,01,Occipital_Sup_L,54.8563126472
230,19,Occipital_Sup_L,45.4494119955
229,20,Occipital_Sup_L,39.7575872316
228,21,Occipital_Sup_L,82.0560006895
227,11,Occipital_Sup_L,22.2080088446
226,18,Occipital_Sup_L,32.7652059051
224,16,Occipital_Sup_L,37.6026250803
223,15,Occipital_Sup_L,65.2127362368
222,22,Occipital_Sup_L,49.7238867533
221,14,Occipital_Sup_L,53.7397946884
225,17,Occipital_Sup_L,31.9342542347
219,10,Occipital_Sup_L,24.361462775
218,05,Occipital_Sup_L,43.9048792623
217,09,Occipital_Sup_L,45.482518047
216,08,Occipital_Sup_L,43.5528728314
215,07,Occipital_Sup_L,67.5205769225
214,06,Occipital_Sup_L,47.2012876172
213,13,Occipital_Sup_L,63.6377515667
212,02,Occipital_Sup_L,75.4968965478
220,12,Occipital_Sup_L,43.8519695802
29,05,Occipital_Sup_R,43.8790450451
28,09,Occipital_Sup_R,45.3831950579
27,08,Occipital_Sup_R,43.3553897014
26,07,Occipital_Sup_R,62.5802778632
22,04,Occipital_Sup_R,35.9404722138
24,13,Occipital_Sup_R,60.8836211796
