,Unnamed: 0,PID,Title,Paper-source,Included,Exclusion Reason,Exclusion Reason Subcategory,Keyword,prop_match,where_match
106,106.0,,"Christophel,Thomas B;Haynes,John-Dylan;(2014)Decoding complex flow-field patterns in visual working memory.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
107,107.0,,"Cohen,Ori;Koppel,Moshe;Malach,Rafael;Friedman,Doron;(2014)Controlling an avatar by thought using real-time fMRI.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
108,108.0,,"Downing,Paul E;Wiggett,Alison J;Peelen,Marius V;(2007)Functional magnetic resonance imaging investigation of overlapping lateral occipitotemporal activations using multi-voxel pattern analysis.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
109,109.0,,"Jacobs,Richard H A H;Baumgartner,Elisabeth;Gegenfurtner,Karl R;(2014)The representation of material categories in the brain.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
110,110.0,,"Kim,Eunwoo;Kim,Dae-Shik;Ahmad,Fayyaz;Park,Hyunwook;(2013)Pattern-based Granger causality mapping in FMRI.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
111,111.0,,"Kuhl,Brice A;Rissman,Jesse;Chun,Marvin M;Wagner,Anthony D;(2011)Fidelity of neural reactivation reveals competition between memories.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
112,112.0,,"Lee,Tatia M C;Leung,Mei-Kei;Lee,Tiffany M Y;Raine,Adrian;Chan,Chetwyn C H;(2013)I want to lie about not knowing you, but my precuneus refuses to cooperate.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
113,113.0,,"Marquand,Andre;Howard,Matthew;Brammer,Michael;Chu,Carlton;Coen,Steven;Mourao-Miranda,Janaina;(2010)Quantitative prediction of subjective pain intensity from whole-brain fMRI data using Gaussian processes.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
114,114.0,,"Mourao-Miranda,Janaina;Reynaud,Emanuelle;McGlone,Francis;Calvert,Gemma;Brammer,Michael;(2006)The impact of temporal compression and space selection on SVM analysis of single-subject and multi-subject fMRI data.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
115,115.0,,"Nawa,Norberto Eiji;Ando,Hiroshi;(2014)Classification of self-driven mental tasks from whole-brain activity patterns.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
116,116.0,,"Niazi,Adnan M;van den Broek,Philip L C;Klanke,Stefan;Barth,Markus;Poel,Mannes;Desain,Peter;van Gerven,Marcel A J;(2014)Online decoding of object-based attention using real-time fMRI.",Search 2,Exclude,multivariate: frontal rois or searchlights,,,,
